ID,AverageMass,AreaInSquaredPixels,Roundness
309,4.4718,22598.0,0.9058
310,4.4731,22249.5,0.9158
311,4.4733,22996.5,0.85
312,4.8209,19945.0,0.9534
313,4.8197,19278.0,0.9388
314,4.8203,19704.0,0.9489
315,4.82,25793.0,0.8242
316,4.8192,25709.0,0.8299
317,4.8189,25564.5,0.8275
318,4.8173,25502.0,0.8184
319,4.8129,25219.5,0.8542
320,3.0577,18053.0,0.8798
321,3.0572,18228.0,0.8868
322,3.0576,17964.5,0.8785
323,3.0576,17819.0,0.8652
324,4.4068,19195.0,0.9563
325,4.4079,19012.0,0.9611
326,4.4085,19070.5,0.9515
327,4.4115,19044.0,0.955
328,4.4113,19113.0,0.9624
329,4.4101,22672.0,0.8994
330,4.4088,22609.0,0.9016
331,4.4103,22638.5,0.9196
332,4.4103,22082.0,0.935
333,4.4059,21936.0,0.94
334,4.4089,22293.5,0.9286
335,4.4065,21622.5,0.8685
336,4.4064,21431.5,0.8801
337,5.7903,22035.5,0.9633
338,5.7906,21899.0,0.9617
339,5.7876,21788.0,0.9704
340,5.7895,21917.0,0.9742
341,5.7909,22154.5,0.9693
342,5.7901,26399.0,0.8926
343,5.7909,26677.5,0.896
344,5.7896,27744.0,0.8474
345,5.7893,27651.5,0.8642
346,5.7895,27362.5,0.8546
347,5.7903,27433.0,0.8566
348,5.7898,27192.0,0.8606
349,5.7892,27810.5,0.8726
350,5.79,27203.5,0.8557
351,5.7883,27326.0,0.873
352,5.7885,27712.0,0.8826
353,3.3274,17876.0,0.9317
354,3.3287,17966.0,0.9356
355,3.3286,17805.5,0.9281
356,3.3282,18735.0,0.8305
357,3.3255,18610.0,0.8371
358,3.7998,16571.0,0.9564
359,3.8015,16515.5,0.9566
360,3.8014,16309.5,0.9474
361,3.8013,16542.5,0.9548
362,3.8006,19420.5,0.9041
363,3.8,19436.0,0.9147
364,3.7995,19499.0,0.9105
365,3.8015,19338.5,0.9219
366,3.8008,19680.0,0.8869
