ID,AverageMass,AreaInSquaredPixels,Roundness
265,4.9,18055.5,0.9667
266,4.9013,17611.5,0.9577
267,4.8997,23560.0,0.9082
268,4.8998,24354.0,0.9152
269,4.8982,23394.0,0.8935
270,4.8991,23492.0,0.9045
271,4.899,23811.5,0.9156
272,4.8985,22251.0,0.8616
273,4.9007,23151.0,0.8765
274,5.1209,18535.5,0.9478
275,5.1205,18594.5,0.9471
276,5.1196,18561.5,0.9438
277,5.1183,18540.0,0.9442
278,5.1191,19015.5,0.9544
279,5.1174,18292.5,0.9447
280,5.1177,18614.5,0.9413
281,5.1165,25300.0,0.8843
282,5.1164,25137.0,0.9025
283,5.1151,25411.5,0.8881
284,5.1148,25036.5,0.8753
285,5.1139,25792.5,0.9006
286,5.1129,25091.5,0.8963
287,5.1132,24686.5,0.8931
288,5.1127,24276.0,0.8811
289,5.1136,23874.0,0.8976
290,5.246,18109.5,0.9481
291,5.244,18264.0,0.9556
292,5.2433,18315.0,0.9564
293,5.2432,18196.0,0.9568
294,5.2417,17994.5,0.9482
295,5.2426,17815.0,0.9366
296,5.2428,24461.5,0.9048
297,5.2432,24242.0,0.8859
298,5.2403,23630.0,0.9136
299,5.241,23430.5,0.9299
300,5.2409,23306.0,0.8934
301,5.2401,24998.0,0.8799
302,5.2374,25093.5,0.9053
303,5.2401,25101.5,0.924
304,5.2381,24333.0,0.8919
305,5.2374,24748.5,0.8896
306,5.2374,24197.5,0.8916
307,4.4745,21646.5,0.9091
308,4.4748,21493.5,0.9157
309,4.4718,21921.5,0.9211
310,4.4731,21400.5,0.8987
311,4.4733,22018.0,0.8633
312,4.8209,19250.0,0.9467
313,4.8197,18340.0,0.9454
314,4.8203,18664.5,0.9558
315,4.82,25040.0,0.8603
316,4.8192,24802.0,0.8593
317,4.8189,24209.0,0.8416
318,4.8173,24710.5,0.8534
319,4.8129,24366.5,0.8801
320,3.0577,17968.0,0.9186
321,3.0572,17716.0,0.9149
322,3.0576,17180.5,0.9095
323,3.0576,16728.5,0.892
324,4.4068,17922.5,0.9403
325,4.4079,17845.5,0.936
326,4.4085,17654.0,0.9349
327,4.4115,17706.5,0.9374
328,4.4113,18015.0,0.9472
329,4.4101,22044.0,0.9273
330,4.4088,22414.0,0.937
331,4.4103,21023.0,0.9139
332,4.4103,21376.0,0.934
333,4.4059,20669.0,0.9345
334,4.4089,21195.0,0.9285
