ID,AverageMass,AreaInSquaredPixels,Roundness
305,5.2374,24810.5,0.8934
306,5.2374,24122.0,0.884
307,4.4745,22400.5,0.9177
308,4.4748,22128.5,0.9191
309,4.4718,22211.0,0.9135
310,4.4731,21568.0,0.8962
311,4.4733,22528.0,0.8783
312,4.8209,19213.5,0.9459
313,4.8197,18671.5,0.9533
314,4.8203,19437.0,0.9639
315,4.82,25174.5,0.846
316,4.8192,24861.5,0.8437
317,4.8189,25091.0,0.8565
318,4.8173,25267.0,0.8492
319,4.8129,25097.0,0.8887
320,3.0577,17708.0,0.9069
321,3.0572,17411.5,0.9085
322,3.0576,17120.5,0.8966
323,3.0576,17570.0,0.9081
324,4.4068,18582.0,0.9555
325,4.4079,18251.5,0.9401
326,4.4085,18493.5,0.9528
327,4.4115,18264.5,0.9474
328,4.4113,18428.0,0.9494
329,4.4101,22289.0,0.9271
330,4.4088,21998.5,0.9312
331,4.4103,21877.0,0.925
332,4.4103,21366.5,0.9364
333,4.4059,21586.5,0.9472
334,4.4089,21769.5,0.9363
335,4.4065,20814.5,0.9113
336,4.4064,20390.5,0.9118
337,5.7903,21493.0,0.9522
338,5.7906,21351.0,0.9455
339,5.7876,21296.0,0.9483
340,5.7895,20953.0,0.9435
341,5.7909,21555.5,0.9538
342,5.7901,26238.5,0.8993
343,5.7909,26432.5,0.8963
344,5.7896,27312.0,0.871
345,5.7893,27250.5,0.873
346,5.7895,27343.0,0.8927
347,5.7903,26368.0,0.8726
348,5.7898,27157.0,0.8907
349,5.7892,26737.5,0.8818
350,5.79,27061.5,0.8882
351,5.7883,26579.5,0.873
352,5.7885,27276.0,0.9035
353,3.3274,17132.0,0.9471
354,3.3287,17357.5,0.9376
355,3.3286,16819.5,0.9308
356,3.3282,18528.5,0.9111
357,3.3255,18716.5,0.9171
358,3.7998,16060.0,0.9485
359,3.8015,15522.5,0.946
360,3.8014,15705.0,0.9389
361,3.8013,15748.5,0.9448
362,3.8006,19051.5,0.9151
363,3.8,18610.0,0.9085
364,3.7995,18546.0,0.9266
365,3.8015,18530.0,0.911
366,3.8008,19209.5,0.9097
367,3.9324,16305.5,0.9518
368,3.9311,16334.5,0.9579
369,3.9324,16315.5,0.9601
370,3.9315,19789.0,0.9059
371,3.9319,19210.0,0.9072
372,3.9312,19894.5,0.9225
373,3.9311,16532.5,0.9556
374,3.9287,19206.5,0.9285
375,3.9304,18962.0,0.931
376,3.9285,19004.5,0.9336
377,3.9288,18822.0,0.9221
378,3.9293,18430.5,0.9296
379,3.9294,19756.0,0.9158
380,3.9269,19430.0,0.9183
381,3.9274,19370.0,0.9292
382,3.7908,21293.5,0.877
383,3.7917,21376.5,0.8777
384,3.79,21649.5,0.9094
385,3.7898,20301.0,0.874
386,3.789,20909.0,0.8921
387,3.7901,20106.0,0.8549
388,3.7899,21686.0,0.8804
389,3.7894,19691.5,0.8645
390,4.9262,24728.5,0.8624
391,4.9259,25462.0,0.8788
392,4.9236,24264.5,0.8531
393,4.926,24447.5,0.8525
394,4.9254,24600.5,0.8714
395,4.9243,24420.5,0.8649
396,4.9254,22833.0,0.9068
397,4.9251,23417.5,0.8983
398,4.2615,21988.5,0.9003
399,4.2606,22214.0,0.9079
400,4.2604,21999.0,0.9079
401,4.2589,22321.0,0.9237
402,4.2602,21635.5,0.9043
403,4.26,18410.5,0.9481
404,4.2597,21752.0,0.9145
405,3.8362,22117.0,0.8748
406,3.837,19090.5,0.9524
407,3.8365,19807.0,0.9225
408,3.8359,19240.5,0.9344
409,6.3606,25931.5,0.9168
410,6.3617,28967.5,0.9077
411,6.3614,28005.5,0.9058
412,6.3612,27759.5,0.8999
413,6.3611,29530.0,0.8671
414,6.3606,27626.5,0.8199
415,3.8931,16745.5,0.9405
416,3.8898,16557.5,0.9437
417,3.8924,16587.0,0.938
418,3.8898,19798.0,0.9022
419,3.892,20051.5,0.9158
420,3.8908,19955.0,0.9284
421,3.8905,19315.5,0.924
422,3.8894,18620.5,0.9221
423,3.8901,16760.0,0.9555
424,4.5957,18006.0,0.9541
425,4.5941,17956.0,0.9423
426,4.5955,17743.0,0.952
427,4.5936,18293.5,0.9617
428,4.5955,17931.0,0.9568
429,4.5965,21678.0,0.8974
430,4.5955,21220.0,0.8919
431,4.5946,22296.5,0.9052
432,4.5949,22240.5,0.8944
433,4.5948,20891.5,0.8891
434,4.5927,21952.0,0.8873
435,4.5946,21576.0,0.8988
436,4.5947,21350.5,0.9082
437,5.0973,19989.0,0.9467
438,5.0977,19201.5,0.9488
439,5.0973,19803.5,0.9572
440,5.0957,19632.5,0.9649
441,5.0964,25575.0,0.8451
442,5.0955,25413.0,0.8311
443,5.0929,24969.0,0.8566
444,5.0937,24183.5,0.8316
445,5.0928,24760.0,0.8488
446,4.7968,18503.0,0.9639
447,4.7963,23640.5,0.9338
448,4.7961,21418.5,0.894
449,4.7959,22672.5,0.9322
450,4.7956,22874.0,0.9261
451,4.7955,21368.5,0.9122
452,3.5331,19383.5,0.8823
453,3.532,14929.0,0.9351
454,3.5312,18158.0,0.8887
455,3.5307,18176.5,0.8745
456,4.7346,19793.0,0.9593
457,4.7324,19680.0,0.9606
458,4.7334,19169.0,0.9557
459,4.734,19200.5,0.951
460,4.7335,22332.0,0.9312
461,4.733,21662.0,0.9173
462,4.733,21783.5,0.9351
463,4.7323,21883.0,0.9337
464,4.7319,21844.0,0.9451
465,4.7304,21073.5,0.9158
466,4.7314,21217.5,0.9209
467,5.1174,20213.5,0.9548
468,5.1177,19885.5,0.9631
469,5.1179,20040.0,0.9537
470,5.1176,20030.5,0.9547
471,5.1174,23195.5,0.9234
472,5.1169,24353.0,0.9116
473,5.1165,24670.0,0.9359
474,3.3835,14743.0,0.9504
475,3.3832,14683.0,0.9361
476,3.3832,15235.5,0.9671
477,3.3835,14277.0,0.9306
478,3.3823,17812.0,0.9207
479,3.3814,17407.5,0.9232
480,3.3798,16958.0,0.9179
482,3.3803,17377.0,0.9298
483,3.3823,17213.0,0.9283
484,3.381,16981.0,0.9235
485,3.3815,16970.0,0.9279
486,3.3811,16765.0,0.9235
487,3.3815,16974.0,0.9287
488,3.3805,16299.0,0.9332
489,3.5085,15516.0,0.9613
490,3.5084,15873.0,0.9701
491,3.5086,15973.5,0.9678
492,3.5068,18440.5,0.9135
493,3.5077,17696.0,0.906
494,3.5067,17814.0,0.9015
495,3.5025,18237.0,0.9223
496,3.5012,17940.5,0.9162
497,3.5019,18566.5,0.9191
498,4.9371,19430.5,0.948
499,4.9335,19368.0,0.939
500,4.9352,19512.0,0.945
501,4.9356,22979.5,0.8807
502,4.9353,23506.0,0.884
503,4.9347,23554.0,0.9011
504,4.935,23245.0,0.8875
505,4.934,24635.5,0.8808
506,4.9338,24264.0,0.8745
507,4.7104,22710.0,0.9198
508,4.7099,17945.5,0.9522
509,4.7085,17670.5,0.9513
510,4.7054,18065.0,0.9603
511,4.7059,21213.0,0.8649
512,4.7049,21711.5,0.8741
513,4.7048,21804.0,0.8887
514,4.7034,21940.0,0.9064
515,4.9606,21170.5,0.9393
516,4.9599,20900.5,0.936
517,4.9559,26741.5,0.8745
518,4.9582,25542.5,0.9249
519,4.9565,25261.5,0.8867
520,4.9573,23734.0,0.8727
521,4.9565,25821.5,0.9141
522,5.2013,19088.5,0.9598
523,5.1978,18954.0,0.9524
524,5.1973,18569.0,0.9394
525,5.1964,18324.0,0.939
526,5.1955,23628.0,0.8604
527,5.1922,24480.0,0.899
528,5.1942,24123.5,0.8939
529,5.1954,24465.5,0.9122
530,5.195,24269.5,0.9224
531,5.194,23165.5,0.8903
532,5.1947,23166.5,0.8981
533,5.1953,23985.5,0.8948
534,4.3326,16980.5,0.9544
535,4.3358,17023.0,0.9566
536,4.3356,17209.0,0.9588
537,4.3349,20234.0,0.898
538,4.3333,21803.0,0.9357
539,4.3328,20367.5,0.9072
540,6.0109,22419.5,0.9553
541,6.0102,21756.0,0.9412
542,6.0117,22081.5,0.9423
543,6.0104,21752.5,0.9436
544,6.0112,28128.0,0.8606
545,6.0115,27787.5,0.8388
546,6.011,28366.0,0.8612
547,6.0108,28122.0,0.8904
548,6.0111,27473.0,0.8697
549,6.0108,28009.0,0.8675
550,6.0096,27857.5,0.8634
551,6.0098,24486.5,0.9149
552,4.5636,18337.0,0.963
553,4.5625,17822.0,0.9539
554,4.5626,18196.5,0.9583
555,4.5623,18309.5,0.9547
556,4.5608,18443.5,0.9625
557,4.5595,21776.5,0.915
558,4.5583,22403.5,0.923
559,4.5537,21818.5,0.9049
560,4.5539,20878.5,0.9006
561,4.5535,22476.0,0.9269
562,4.2228,17803.0,0.9545
563,4.2227,18239.0,0.9538
564,4.2215,18107.0,0.9526
565,4.2209,19834.5,0.8655
566,4.2206,21681.5,0.9126
567,4.2202,21224.0,0.9044
568,4.2199,20657.0,0.8894
569,4.5246,17845.5,0.9492
570,4.5234,18431.0,0.9368
571,4.5242,19892.0,0.9424
572,4.5241,22179.0,0.934
573,4.5242,22235.5,0.8845
574,4.5229,22424.0,0.8768
575,4.5214,23467.5,0.8956
