ID,AverageMass,AreaInSquaredPixels,Roundness
253,5.8266,21736.5,0.8643
254,5.8253,21777.5,0.8537
255,5.5003,28415.0,0.7794
256,5.5004,28583.0,0.7592
257,5.4969,28533.5,0.764
258,5.4978,27702.5,0.7854
259,5.497,20476.0,0.8402
260,5.4966,20111.5,0.8375
261,5.4954,20053.5,0.8422
262,4.8996,18540.5,0.8756
263,4.8976,18400.0,0.8569
264,4.9005,18482.0,0.8569
265,4.9,18598.5,0.8603
266,4.9013,18760.0,0.8588
267,4.8997,24652.0,0.8184
268,4.8998,24889.0,0.8126
269,4.8982,24821.5,0.8175
270,4.8991,24355.0,0.8071
271,4.899,24351.5,0.81
272,4.8985,23889.5,0.7757
273,4.9007,23928.5,0.7779
274,5.1209,19193.0,0.8575
275,5.1205,19329.5,0.857
276,5.1196,19424.0,0.8507
277,5.1183,19564.5,0.8659
278,5.1191,19676.5,0.8496
279,5.1174,19600.5,0.8437
280,5.1177,19452.0,0.8452
281,5.1165,26511.5,0.7834
282,5.1164,26600.0,0.7879
283,5.1151,26791.0,0.7788
284,5.1148,26407.0,0.7841
285,5.1139,26326.5,0.7906
286,5.1129,25989.5,0.8108
287,5.1132,25707.0,0.7902
288,5.1127,25809.5,0.7858
289,5.1136,25570.0,0.7794
290,5.246,19068.5,0.8507
291,5.244,19142.0,0.8581
292,5.2433,19056.0,0.8802
293,5.2432,19237.5,0.8494
294,5.2417,19023.5,0.8793
295,5.2426,19239.0,0.8672
296,5.2428,25311.0,0.8131
297,5.2432,25507.0,0.8039
298,5.2403,24888.5,0.8057
299,5.241,24678.0,0.7899
300,5.2409,24479.5,0.8
301,5.2401,25844.0,0.7796
302,5.2374,25745.5,0.7875
303,5.2401,25833.0,0.7882
304,5.2381,25481.0,0.8073
305,5.2374,25372.5,0.7813
306,5.2374,25108.5,0.7996
307,4.4745,22572.0,0.7882
308,4.4748,22598.5,0.8255
309,4.4718,22430.0,0.7974
310,4.4731,22320.0,0.8124
311,4.4733,23176.0,0.7732
312,4.8209,19939.0,0.8454
313,4.8197,19184.0,0.8372
314,4.8203,19556.5,0.8522
315,4.82,25875.0,0.732
316,4.8192,25696.5,0.7445
317,4.8189,25510.0,0.746
318,4.8173,25338.0,0.7517
319,4.8129,25322.0,0.772
320,3.0577,18153.5,0.7989
321,3.0572,18202.0,0.8175
322,3.0576,17826.5,0.8141
323,3.0576,17911.0,0.7861
324,4.4068,19081.0,0.8565
325,4.4079,18875.5,0.8588
326,4.4085,19051.0,0.8536
327,4.4115,19027.5,0.8432
328,4.4113,19228.5,0.849
329,4.4101,22820.5,0.8214
330,4.4088,22816.0,0.8083
331,4.4103,22481.0,0.8182
332,4.4103,22114.5,0.8542
333,4.4059,21858.0,0.8442
334,4.4089,22178.5,0.8272
335,4.4065,21434.5,0.8079
336,4.4064,21541.5,0.8164
337,5.7903,21922.0,0.8532
338,5.7906,21966.0,0.8579
339,5.7876,21762.0,0.8646
340,5.7895,21850.5,0.8551
341,5.7909,22070.0,0.8509
342,5.7901,26543.5,0.7944
343,5.7909,26497.5,0.7876
344,5.7896,27537.0,0.7809
345,5.7893,27475.5,0.7695
346,5.7895,27406.0,0.7748
347,5.7903,27291.5,0.7784
348,5.7898,27094.5,0.7748
349,5.7892,27418.5,0.7882
350,5.79,27384.0,0.7834
351,5.7883,27253.0,0.7936
352,5.7885,27544.5,0.776
353,3.3274,17732.5,0.8251
354,3.3287,17705.5,0.8344
355,3.3286,17509.0,0.8439
356,3.3282,18774.5,0.8016
357,3.3255,18778.0,0.8136
358,3.7998,16526.5,0.8583
359,3.8015,16344.0,0.8566
360,3.8014,16407.0,0.8501
361,3.8013,16176.0,0.8624
362,3.8006,19555.5,0.8074
363,3.8,19213.5,0.8162
364,3.7995,19337.5,0.8185
365,3.8015,19461.0,0.8072
366,3.8008,19814.5,0.8162
367,3.9324,16863.5,0.8734
368,3.9311,16896.5,0.8589
369,3.9324,16923.0,0.8635
370,3.9315,20399.5,0.7763
371,3.9319,20242.0,0.8065
372,3.9312,19793.5,0.8187
373,3.9311,17029.5,0.8576
374,3.9287,19571.5,0.8243
375,3.9304,19403.5,0.8344
376,3.9285,19229.5,0.8194
377,3.9288,19384.5,0.822
378,3.9293,19254.0,0.8287
379,3.9294,20204.0,0.7984
380,3.9269,19996.5,0.7979
381,3.9274,19838.0,0.808
382,3.7908,21971.5,0.7877
383,3.7917,22214.5,0.7957
384,3.79,21776.0,0.8112
385,3.7898,20832.0,0.7819
386,3.789,21928.0,0.8026
387,3.7901,20555.0,0.7606
388,3.7899,22053.5,0.7846
389,3.7894,20539.0,0.7761
390,4.9262,25491.5,0.7549
391,4.9259,25618.5,0.7502
392,4.9236,25428.5,0.7619
393,4.926,25311.5,0.7585
394,4.9254,25113.0,0.7573
395,4.9243,25245.0,0.7539
396,4.9254,23183.5,0.8012
397,4.9251,23660.5,0.7861
398,4.2615,22270.0,0.7979
399,4.2606,22353.5,0.8048
400,4.2604,22435.5,0.7908
401,4.2589,22272.5,0.797
402,4.2602,22203.5,0.7949
403,4.26,18740.5,0.8592
404,4.2597,22183.0,0.8074
405,3.8362,22366.0,0.7729
406,3.837,19874.5,0.8349
407,3.8365,20377.5,0.8103
408,3.8359,19717.5,0.8231
409,6.3606,26970.0,0.8398
410,6.3617,29074.0,0.81
