ID,AverageMass,meanB,meanG,meanR,meangray
139,5.5442,37.97205425723158,51.34736067984965,172.5824072560876,0.0
140,5.5442,36.180250670144176,49.218358327899736,172.00930957038327,0.0
141,5.5445,35.804995408631775,49.05098255280074,172.2566023875115,0.0
142,5.5435,35.97120807361235,48.97688483229445,172.08778569308402,0.0
143,5.516,35.8104928222584,48.74774308124907,172.05327808198905,0.0
144,5.542,36.79318190158159,49.973872518439684,173.99009210671167,0.0
145,4.6638,36.885894119009926,49.46974553037031,174.16005714947678,0.0
146,4.6643,33.92100303834468,45.882427598938506,166.06065151340334,0.0
147,4.6634,38.681661609119985,52.76047732305421,179.36340523251044,0.0
148,4.6628,41.925353179731715,58.32381122153393,183.0424706983377,0.0
149,4.6634,45.818232955823895,62.35742143553588,182.01383784594614,0.0
150,4.6623,44.08524454787733,60.07912615892796,178.84760331819376,0.0
151,4.6623,36.726860292558825,47.66771252914988,164.32465550137798,0.0
152,5.4823,42.13570169743066,56.90784713848437,170.65884426305539,0.0
153,5.4827,41.54537225616655,56.06711925775062,168.07721203892282,0.0
154,5.4814,39.48891581403698,53.36707951893736,165.849084544965,0.0
155,5.4811,38.46745321399512,52.02463610885092,163.72100171774704,0.0
156,5.4818,38.65394205921023,52.259554789862634,162.7258013329102,0.0
157,5.4823,39.20373171961674,51.11365840412739,166.5630939912332,0.0
158,5.4812,40.707311482924595,53.41580716632287,169.7690427076171,0.0
159,5.4772,41.58315621679065,54.27303780173068,173.43050705935934,0.0
160,5.4766,40.695017988424844,52.950023463162836,172.37415923666512,0.0
161,5.4763,39.63001745200698,51.91174837379026,170.0330794859591,0.0
162,5.4772,38.36672135739726,50.36664132218176,167.85797751010446,0.0
163,5.4964,42.962753418198965,62.05294672324376,177.96039603960398,0.0
164,5.4984,42.62419262917933,61.49116641337386,177.58315919452886,0.0
165,5.4969,41.661925601750546,60.60436685377224,175.34078584340216,0.0
166,5.4988,43.45334802184117,62.61298974997605,179.48189481751126,0.0
167,5.498,38.24275872019623,51.00115427623273,169.35739277855933,0.0
168,5.4983,37.984406804303575,50.54877871474265,168.86289619075313,0.0
169,5.4948,41.675011764705886,61.0272,174.2401411764706,0.0
170,5.495,42.29962085308057,61.5142654028436,176.82,0.0
171,5.4946,43.678352863039045,62.97556810095355,178.6248873286209,0.0
172,5.4933,43.64338270425227,62.93635929288103,178.5882465360726,0.0
173,5.4892,43.41460983482058,62.52781469527245,178.93293146003415,0.0
174,5.4924,43.30299529664164,59.7432543939269,182.97260500041259,0.0
175,5.4931,41.6961990160292,57.13890652277416,175.3782336137121,0.0
176,5.4903,40.938927959771156,54.454359946070035,177.552891447728,0.0
177,5.4883,40.54258953168044,53.999081726354454,177.04382001836547,0.0
178,5.4899,39.597716293368464,52.77444737227346,174.3905357927097,0.0
179,5.4885,36.03776978417266,48.62813830568198,166.7683526648069,0.0
180,5.4883,36.24034759652403,49.24071425952407,168.570160965057,0.0
181,5.4875,37.113192990190676,50.229104669532305,169.0058047687277,0.0
182,5.4872,37.53403972531935,50.83327180093037,169.57793694159344,0.0
183,5.4881,40.5419620304734,55.987737309541274,179.16625926831256,0.0
184,5.487,42.43023089570377,63.505790263778685,195.0805632997355,0.0
185,5.6244,43.200194966324,69.06978908188586,194.9528092874867,0.0
186,5.6269,44.119034971226206,70.06989818503763,196.7825586542718,0.0
187,5.6265,42.55617901262501,67.50993257613467,193.68645640074212,0.0
188,5.6259,39.34645034690588,59.189747003994675,189.45059219286566,0.0
189,5.6236,39.91587783532774,59.04236470798357,189.86801214502592,0.0
