ID,AverageMass,AreaInSquaredPixels,Roundness,stddev,skewness,kurtosis
81,3.9169,16297.5,0.9548,25.700937194885913,5.740692575162075,33.70988665453973
82,3.9181,16126.5,0.955,25.97083240605998,5.705006215588285,33.17474197311549
83,3.918,16238.0,0.9476,25.953479243482416,5.691608526116425,32.96771893040676
84,3.9173,16378.5,0.9553,25.748064573223385,5.701580078155773,33.10920798395569
85,3.9176,19520.0,0.8194,27.96917253723732,5.253742600268834,27.51515233478275
86,3.9172,19444.5,0.8237,28.556870873396015,5.214485211732329,27.19415944200106
87,3.9168,19432.0,0.8311,28.270222357449107,5.2661272989461185,27.80969267353746
88,3.9163,19434.0,0.8432,27.525072179116787,5.297650126748192,28.142075116952007
89,3.9152,19554.5,0.8417,27.954947780655374,5.253911744650829,27.600791125235887
90,3.9162,19543.0,0.8461,26.796537549438128,5.2658159086575065,27.553368935150143
91,3.9164,19311.5,0.839,27.031606944227338,5.320543424273723,28.17796406000388
92,3.915,20479.0,0.8656,28.89136379838836,5.0600683171867935,25.58323760572301
93,3.9142,19551.5,0.8969,28.545193092120975,5.136070592733522,26.495860626504662
94,3.9149,19333.5,0.8924,28.098385811990568,5.205286063513821,27.4108327415566
95,3.9147,20434.5,0.8675,29.608348368814244,5.03923958416509,25.422536080389794
96,5.0155,20035.5,0.9608,28.7806721389994,5.126540862937293,26.499547472684856
97,5.0157,20072.0,0.9629,27.740190285701743,5.184283340440694,27.187758245708544
98,5.015,20394.0,0.9623,28.117118459455426,5.144947336999926,26.746759560649803
99,5.0159,19388.5,0.9585,27.167526215564077,5.29029880729373,28.32865092209267
100,5.0149,19041.5,0.9607,27.263568375695357,5.2938008869031385,28.282611105580678
101,5.0151,19341.5,0.9659,28.27922023084678,5.184573499540443,27.054034254729096
102,5.0153,19428.0,0.947,28.216061762441782,5.204327511389296,27.28711222458734
103,5.0142,25148.5,0.8537,32.228894673468375,4.496012389218697,19.87904396130072
104,5.0151,25275.5,0.8654,32.64861015563347,4.468243615008073,19.60944315684737
105,5.0151,25289.0,0.8676,32.63922346483323,4.463966711596958,19.57078521411761
106,5.0143,25030.0,0.8434,31.751603150756903,4.508944374823848,19.947552321619444
107,5.0146,24896.0,0.8789,31.606618131810006,4.526195571908278,20.08472987175447
108,5.0129,24271.0,0.8447,31.172746850870567,4.6062097844949355,20.911972667814553
109,5.0138,24103.5,0.8535,31.876958967500563,4.611485861339745,21.035497342198788
110,5.0136,24325.0,0.8666,31.11184954168626,4.625819276709999,21.17500313355365
111,5.0136,23966.0,0.8572,30.627584508235326,4.653197945808592,21.44716005019334
112,5.0123,25862.5,0.8804,32.64191821654136,4.474155611645991,19.69809847720143
113,5.0111,25250.0,0.875,32.626797109748935,4.501799700108656,19.955433284206034
114,5.0121,24814.5,0.8888,32.715471570532095,4.547664135726654,20.438185741087874
115,5.0094,24579.5,0.8841,31.848115213706084,4.588166874098398,20.788888756813837
116,5.0101,24553.0,0.8883,32.63738009121189,4.568801199639266,20.625151513669284
117,5.0102,23312.0,0.8584,30.063939483104782,4.752521583201044,22.478827385405847
118,5.0104,25243.5,0.8267,31.894409487041703,4.534904038026862,20.278583004069777
119,5.0039,24673.0,0.8161,32.51135025034941,4.555475871569933,20.444590527338818
120,5.0023,24269.5,0.839,32.88982333852779,4.548767980479424,20.39803968924718
121,5.0022,24354.0,0.8249,30.289450891895978,4.630915037779384,21.08389154999722
122,5.0012,24084.0,0.8077,32.5950443301403,4.591907996616687,20.815864696478112
123,5.0005,23907.5,0.8328,31.433859246210112,4.654558129234161,21.39390372372409
124,5.0003,23850.0,0.8178,31.95900577903505,4.624295094815877,21.14746546190929
125,4.9989,25627.5,0.8646,33.709739144489454,4.462212711874243,19.55447767964902
126,5.5468,21357.0,0.9414,30.64964013287956,4.798091798879772,23.105466583664374
127,5.5465,21412.5,0.9562,30.547738111372606,4.808340868582753,23.229207239980493
128,5.5472,21183.5,0.9488,30.69670878566563,4.833587997054961,23.502411508763263
129,5.547,21110.0,0.9611,30.426477373028447,4.826130941743581,23.43571545580882
130,5.5462,21253.0,0.9521,30.730816915143365,4.770425525855463,22.829186971242354
131,5.5456,21405.0,0.9473,30.30874178024852,4.78943724873996,22.998504594349676
